NomCom,CodeIris,ClassementScoreGlobalRegion,NomIris,Population,ScoreGlocal,AccesInterfaces,AccesInformation,CompetencesAdministrative,CompetenceNumeroque,GlobalAccess,GlobalCompoetence
Aast,640010000,45786,Aast,177,69,109,54,47,76,73,66
Abainville,550010000,40422,Abainville,305,77,94,35,86,107,54,100
Abancourt,600010000,28461,Abancourt,648,88,94,58,88,115,70,106
Abancourt,590010000,44503,Abancourt,461,72,117,50,66,74,72,71
Abaucourt,540010000,12950,Abaucourt,300,103,100,132,78,88,121,85
Abaucourt-Hautecourt,550020000,11305,Abaucourt-Hautecourt,111,105,0,171,92,99,114,97
Abbans-Dessous,250010000,5760,Abbans-Dessous,264,115,100,171,107,71,147,83
Abbans-Dessus,250020000,43631,Abbans-Dessus,304,73,107,45,76,83,66,81
Abbaretz,440010000,30822,Abbaretz,2068,86,88,81,81,92,84,88
Abbecourt,600020000,36663,Abbecourt,768,81,121,42,87,96,69,93
Abbécourt,20010000,23216,Abbécourt,496,92,103,75,99,101,85,100
Abbenans,250030000,31385,Abbenans,352,85,81,58,72,122,65,106
Abbeville,800010503,9853,Ponthieu-Bagatelle,1056,107,87,95,75,146,93,122
Abbeville,800010502,2862,Delique-Saint Gilles,3214,124,87,166,100,111,140,107
Abbeville,800010501,6421,La Porte au Bois,3319,114,87,133,110,109,118,110
Abbeville,800010401,10393,Faubourg de la Bouvaque,3771,107,87,120,85,114,109,104
Abbeville,800010301,11487,Faubourg de Menchecourt,2079,105,87,91,102,129,90,120
Abbeville,800010201,5028,La Gare-Rouvroy-La Portelette,3757,117,87,125,106,129,112,121
Abbeville,800010102,1453,Centre Ville-Saint Vulfran,3200,131,87,159,104,139,135,127
Abbeville,800010101,890,Centre Ville Emonville,2835,136,87,142,77,185,124,149
Abbéville-la-Rivière,910010000,30448,Abbéville-la-Rivière,300,86,110,69,84,92,83,89
Abbéville-lès-Conflans,540020000,44961,Abbéville-lès-Conflans,223,71,116,37,78,78,64,78
Abbeville-Saint-Lucien,600030000,41804,Abbeville-Saint-Lucien,483,76,125,41,72,88,69,82
Abbévillers,250040000,26243,Abbévillers,1031,90,128,76,99,80,93,86
Abeilhan,340010000,20425,Abeilhan,1660,95,96,89,86,105,91,99
Abelcourt,700010000,35284,Abelcourt,352,82,95,71,116,70,79,85
Abère,640020000,45496,Abère,160,70,83,41,78,88,55,84
Abergement-la-Ronce,390010000,29129,Abergement-la-Ronce,845,87,102,86,85,82,91,83
Abergement-le-Grand,390020000,48187,Abergement-le-Grand,56,60,0,44,20,126,29,90
Abergement-le-Petit,390030000,48567,Abergement-le-Petit,38,56,0,67,53,75,44,68
Abergement-lès-Thésy,390040000,48387,Abergement-lès-Thésy,63,58,0,33,97,93,22,94
Abidos,640030000,36715,Abidos,232,81,101,80,88,68,87,75
Abilly,370010000,21696,Abilly,1151,94,94,63,78,133,73,114
Abitain,640040000,46306,Abitain,97,68,0,90,70,79,60,76
Abjat-sur-Bandiat,240010000,20013,Abjat-sur-Bandiat,617,95,86,67,53,149,73,117
Ablain-Saint-Nazaire,620010000,21730,Ablain-Saint-Nazaire,1784,94,121,76,67,112,91,97
Ablaincourt-Pressoir,800020000,16156,Ablaincourt-Pressoir,269,99,101,88,87,116,93,106
Ablainzevelle,620020000,48527,Ablainzevelle,216,57,108,27,68,55,54,59
Ablancourt,510010000,31795,Ablancourt,162,85,112,53,100,97,72,98
Ableiges,950020000,42288,Ableiges,1149,75,118,47,81,78,71,79
Ablis,780030000,36908,Ablis,3436,81,107,61,81,87,76,85
Ablon,140010000,34599,Ablon,1210,83,106,64,74,94,78,87
Ablon-sur-Seine,940010000,16048,Ablon-sur-Seine,5785,99,98,94,93,108,96,103
Aboën,420010000,22787,Aboën,435,93,97,109,80,81,105,81
Aboncourt,570010000,21810,Aboncourt,361,94,101,85,109,90,91,97
Aboncourt,540030000,5519,Aboncourt,102,116,85,114,81,150,104,127
Aboncourt-Gesincourt,700020000,16941,Aboncourt-Gesincourt,215,98,90,87,93,117,88,109
Aboncourt-sur-Seille,570020000,47936,Aboncourt-sur-Seille,72,62,0,47,118,79,31,92
Abondance,740010000,22880,Abondance,1408,93,105,81,98,96,89,96
Abondant,280010000,37353,Abondant,2358,80,118,60,93,75,79,81
Abos,640050000,21033,Abos,539,94,109,97,83,91,101,88
Abreschviller,570030000,8531,Abreschviller,1442,110,101,110,75,131,107,112
Abrest,30010000,27659,Abrest,2923,89,96,79,71,103,85,92
Abriès,50010000,34092,Abriès,302,83,90,91,55,86,91,76
Abscon,590020000,25620,Abscon,4440,90,90,79,94,100,82,98
Abzac,330010000,16988,Abzac,1926,98,91,107,90,97,102,95
Abzac,160010000,21814,Abzac,474,94,79,76,59,136,77,110
Accolans,250050000,48509,Accolans,99,57,0,44,60,96,29,84
Accons,70010000,36209,Accons,380,81,98,56,64,107,70,92
Accous,640060000,27175,Accous,463,89,87,86,52,111,87,91
Achain,570040000,44551,Achain,83,72,0,94,87,78,63,81
Achen,570060000,31192,Achen,1007,86,109,50,99,102,70,101
Achenheim,670010000,29622,Achenheim,2082,87,123,73,78,88,89,84
Achères,780050109,40182,Chene Feuillu,4684,77,94,75,89,65,82,73
Achères,780050108,23477,Plantes d'Ennemont,2391,92,94,78,98,102,83,101
Achères,780050107,18047,Montsouris,1942,97,94,91,80,114,92,103
Achères,780050106,10101,Centre Ville,2417,107,94,112,93,116,106,108
Achères,780050105,9603,Porte de Seine,2455,108,94,125,109,97,115,101
Achères,780050104,15883,Thorez,1989,100,94,101,98,101,99,100
Achères,780050103,24792,Champs de Villars,4620,91,94,97,93,82,96,86
Achères,780050102,514,Le Barrage,81,141,94,152,178,137,133,150
Achères,780050101,34959,Gare,244,82,94,105,90,50,102,63
Achères,180010000,10096,Achères,379,107,99,143,86,86,128,86
Achères-la-Forêt,770010000,37617,Achères-la-Forêt,1139,80,123,50,77,90,74,86
Achery,20020000,33949,Achery,602,83,105,61,70,101,76,91
Acheux-en-Amiénois,800030000,26462,Acheux-en-Amiénois,606,90,102,67,94,103,79,100
Acheux-en-Vimeu,800040000,11197,Acheux-en-Vimeu,528,105,99,107,81,119,104,106
Acheville,620030000,45982,Acheville,638,69,121,43,87,59,69,68
Achey,700030000,42762,Achey,71,74,0,67,112,101,44,105
Achicourt,620040103,8010,Est,2431,111,102,116,103,112,112,109
Achicourt,620040102,9116,4 As,2875,109,102,127,90,103,119,99
